:START_ID(Athlete-ID),:END_ID(Event-ID),medal_type,medal_date,:TYPE
1547873,ROWMSCULL2-L,Silver Medal,2024-08-02,WON_MEDAL
1548401,TKWMO80KG,Bronze Medal,2024-08-10,WON_MEDAL
1548817,JUDM90KG,Gold Medal,2024-07-31,WON_MEDAL
1548868,CSPMC2-500M,Silver Medal,2024-08-08,WON_MEDAL
1548871,CSPMC2-500M,Silver Medal,2024-08-08,WON_MEDAL
1548948,GRYW1AA,Silver Medal,2024-08-09,WON_MEDAL
1550116,WREMGR87KG,Bronze Medal,2024-08-08,WON_MEDAL
1550119,WREMGR67KG,Silver Medal,2024-08-08,WON_MEDAL
1550148,WLFW49KG,Silver Medal,2024-08-07,WON_MEDAL
1550162,JUDW52KG,Silver Medal,2024-07-28,WON_MEDAL
1550167,JUDW63KG,Bronze Medal,2024-07-30,WON_MEDAL
1550170,GARW1APFX,Bronze Medal,2024-08-05,WON_MEDAL
1550184,BOXM63KG,Bronze Medal,2024-08-04,WON_MEDAL
1550250,ATHMJAVELIN,Silver Medal,2024-08-08,WON_MEDAL
1550285,ROWWCOXED8,Gold Medal,2024-08-03,WON_MEDAL
1550289,ROWWCOXED8,Gold Medal,2024-08-03,WON_MEDAL
1550289,ROWWNOCOX2,Silver Medal,2024-08-02,WON_MEDAL
1550294,ROWWCOXED8,Gold Medal,2024-08-03,WON_MEDAL
1550295,CSPMC1-1000M,Bronze Medal,2024-08-09,WON_MEDAL
1550303,ROWWCOXED8,Gold Medal,2024-08-03,WON_MEDAL
1550303,ROWWSCULL2,Silver Medal,2024-08-01,WON_MEDAL
1550384,ROWWSCULL2-L,Silver Medal,2024-08-02,WON_MEDAL
1550437,ROWWCOXED8,Gold Medal,2024-08-03,WON_MEDAL
1550542,ROWWCOXED8,Gold Medal,2024-08-03,WON_MEDAL
1550560,ROWWCOXED8,Gold Medal,2024-08-03,WON_MEDAL
1550560,ROWWSCULL2,Silver Medal,2024-08-01,WON_MEDAL
1550630,ROWWCOXED8,Gold Medal,2024-08-03,WON_MEDAL
1550661,ROWWSCULL2-L,Silver Medal,2024-08-02,WON_MEDAL
1550789,ROWWCOXED8,Gold Medal,2024-08-03,WON_MEDAL
1550789,ROWWNOCOX2,Silver Medal,2024-08-02,WON_MEDAL
1550975,CSLMK1,Gold Medal,2024-08-01,WON_MEDAL
1551061,GARW1APBB,Gold Medal,2024-08-05,WON_MEDAL
1551061,GARWTEAM,Silver Medal,2024-07-30,WON_MEDAL
1551186,ROWMSCULL2,Gold Medal,2024-08-01,WON_MEDAL
1551238,ROWMSCULL2,Gold Medal,2024-08-01,WON_MEDAL
1551307,WLFM102KG,Silver Medal,2024-08-10,WON_MEDAL
1551387,SHOMAPM,Bronze Medal,2024-07-28,WON_MEDAL
1551388,SHOMAPM,Silver Medal,2024-07-28,WON_MEDAL
1551443,WLFMO102KG,Gold Medal,2024-08-10,WON_MEDAL
1552305,ATHW10000M,Silver Medal,2024-08-09,WON_MEDAL
1552370,JUDM100KG,Silver Medal,2024-08-01,WON_MEDAL
1552375,ATHMTRPLJUMP,Bronze Medal,2024-08-09,WON_MEDAL
1552378,ATHMLONGJUMP,Bronze Medal,2024-08-06,WON_MEDAL
1552495,WREMFS97KG,Silver Medal,2024-08-11,WON_MEDAL
1553031,MPNMINDIVID,Bronze Medal,2024-08-10,WON_MEDAL
1553249,ARCXTEAM2,Silver Medal,2024-08-02,WON_MEDAL
1553258,ARCXTEAM2,Silver Medal,2024-08-02,WON_MEDAL
1554885,WREMFS125KG,Gold Medal,2024-08-10,WON_MEDAL
1554972,TENWSINGLES,Silver Medal,2024-08-03,WON_MEDAL
1555098,BOXW60KG,Gold Medal,2024-08-06,WON_MEDAL
1555185,BOXM57KG,Bronze Medal,2024-08-08,WON_MEDAL
1555372,ATHM3000MST,Gold Medal,2024-08-07,WON_MEDAL
1555537,BOXM63KG,Gold Medal,2024-08-07,WON_MEDAL
1555548,BOXM80KG,Bronze Medal,2024-08-04,WON_MEDAL
1555976,SHOMR3PM,Silver Medal,2024-08-01,WON_MEDAL
1556045,BOXM51KG,Gold Medal,2024-08-08,WON_MEDAL
1556049,BOXM57KG,Gold Medal,2024-08-10,WON_MEDAL
1556797,BOXM71KG,Gold Medal,2024-08-09,WON_MEDAL
1556860,BOXM92KG,Gold Medal,2024-08-09,WON_MEDAL
1556869,BOXMO92KG,Gold Medal,2024-08-10,WON_MEDAL
1556873,WREMFS86KG,Gold Medal,2024-08-09,WON_MEDAL
1558773,TRIXTEAM4,Gold Medal,2024-08-05,WON_MEDAL
1558775,TRIXTEAM4,Gold Medal,2024-08-05,WON_MEDAL
1558780,TRIXTEAM4,Gold Medal,2024-08-05,WON_MEDAL
1558784,TRIXTEAM4,Gold Medal,2024-08-05,WON_MEDAL
1559387,WREMFS65KG,Bronze Medal,2024-08-11,WON_MEDAL
1559471,WREMGR87KG,Gold Medal,2024-08-08,WON_MEDAL
1559512,SALWFORMKITE,Silver Medal,2024-08-08,WON_MEDAL
1559558,SALW49ERFX,Bronze Medal,2024-08-02,WON_MEDAL
1559559,SALW49ERFX,Bronze Medal,2024-08-02,WON_MEDAL
1560673,CLBWBLCOMB,Bronze Medal,2024-08-10,WON_MEDAL
1560677,CLBMBLCOMB,Bronze Medal,2024-08-09,WON_MEDAL
1560759,GARWTEAM,Silver Medal,2024-07-30,WON_MEDAL
1560760,GARWTEAM,Silver Medal,2024-07-30,WON_MEDAL
1560761,GARWTEAM,Silver Medal,2024-07-30,WON_MEDAL
1560762,GARW1APBB,Bronze Medal,2024-08-05,WON_MEDAL
1560762,GARWTEAM,Silver Medal,2024-07-30,WON_MEDAL
1560781,ROWMSCULL4,Silver Medal,2024-07-31,WON_MEDAL
1561138,JUDM66KG,Bronze Medal,2024-07-28,WON_MEDAL
1561316,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561318,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561319,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561320,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561321,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561322,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561323,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561324,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561325,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561360,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561362,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561365,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561374,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561377,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561381,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561386,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561402,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1561413,HOCMTEAM11,Silver Medal,2024-08-08,WON_MEDAL
1562157,WREMFS57KG,Bronze Medal,2024-08-09,WON_MEDAL
1562164,WREMFS74KG,Gold Medal,2024-08-10,WON_MEDAL
1562400,TENMSINGLES,Bronze Medal,2024-08-03,WON_MEDAL
1562409,TENWDOUBLES,Gold Medal,2024-08-04,WON_MEDAL
1562864,VBVMTEAM2,Silver Medal,2024-08-10,WON_MEDAL
1562868,VBVMTEAM2,Silver Medal,2024-08-10,WON_MEDAL
1563010,WLFW81KG,Silver Medal,2024-08-10,WON_MEDAL
1563082,JUDW70KG,Silver Medal,2024-07-31,WON_MEDAL
1563321,CLBWSPEED,Bronze Medal,2024-08-07,WON_MEDAL
1563327,CLBWSPEED,Gold Medal,2024-08-07,WON_MEDAL
1563381,TTEMTEAM,Silver Medal,2024-08-09,WON_MEDAL
1563386,TTEMTEAM,Silver Medal,2024-08-09,WON_MEDAL
1563390,TTEMSINGLES,Silver Medal,2024-08-04,WON_MEDAL
1563390,TTEMTEAM,Silver Medal,2024-08-09,WON_MEDAL
1563437,JUDM73KG,Bronze Medal,2024-07-29,WON_MEDAL
1563544,JUDM60KG,Bronze Medal,2024-07-27,WON_MEDAL
1563681,TENWDOUBLES,Bronze Medal,2024-08-04,WON_MEDAL
1563682,TENMSINGLES,Silver Medal,2024-08-04,WON_MEDAL
1563687,TENWDOUBLES,Bronze Medal,2024-08-04,WON_MEDAL
1564023,MTBWXCTRY,Bronze Medal,2024-07-28,WON_MEDAL
1564189,ATHMSHOTPUT,Bronze Medal,2024-08-03,WON_MEDAL
1564362,BOXM80KG,Gold Medal,2024-08-07,WON_MEDAL
1564506,CSPWC1-200M,Bronze Medal,2024-08-10,WON_MEDAL
1564651,SALX470,Bronze Medal,2024-08-08,WON_MEDAL
1564652,SALX470,Bronze Medal,2024-08-08,WON_MEDAL
1564653,SALW49ERFX,Silver Medal,2024-08-02,WON_MEDAL
1564657,SALW49ERFX,Silver Medal,2024-08-02,WON_MEDAL
1564886,SHOXAPMT,Silver Medal,2024-07-30,WON_MEDAL
1564893,SHOXAPMT,Silver Medal,2024-07-30,WON_MEDAL
1565000,ARCMTEAM3,Bronze Medal,2024-07-29,WON_MEDAL
1565002,ARCMTEAM3,Bronze Medal,2024-07-29,WON_MEDAL
1565006,ARCMTEAM3,Bronze Medal,2024-07-29,WON_MEDAL
1565754,JUDM100KG,Bronze Medal,2024-08-01,WON_MEDAL
1566421,JUDW70KG,Bronze Medal,2024-07-31,WON_MEDAL
1566437,SALMFORMKITE,Gold Medal,2024-08-09,WON_MEDAL
1566447,SALX470,Gold Medal,2024-08-08,WON_MEDAL
1566451,SALX470,Gold Medal,2024-08-08,WON_MEDAL
1566564,BDMMDOUBLES,Bronze Medal,2024-08-04,WON_MEDAL
1566601,WREMGR97KG,Bronze Medal,2024-08-07,WON_MEDAL
1566617,BDMMSINGLES,Bronze Medal,2024-08-05,WON_MEDAL
1566627,WREMGR77KG,Bronze Medal,2024-08-07,WON_MEDAL
1566631,WREMGR60KG,Bronze Medal,2024-08-06,WON_MEDAL
1566681,ATHMHIGHJUMP,Bronze Medal,2024-08-10,WON_MEDAL
1566738,TKWWO67KG,Bronze Medal,2024-08-10,WON_MEDAL
1566931,JUDMO100KG,Bronze Medal,2024-08-02,WON_MEDAL
1566997,JUDW52KG,Gold Medal,2024-07-28,WON_MEDAL
1567359,SRFWSHORTBRD,Bronze Medal,2024-08-05,WON_MEDAL
1567361,SRFMSHORTBRD,Gold Medal,2024-08-05,WON_MEDAL
1567512,JUDMO100KG,Bronze Medal,2024-08-02,WON_MEDAL
1568182,BOXW50KG,Silver Medal,2024-08-09,WON_MEDAL
1568186,BOXW54KG,Silver Medal,2024-08-08,WON_MEDAL
1568204,BOXW57KG,Bronze Medal,2024-08-07,WON_MEDAL
1568241,WREWFS68KG,Silver Medal,2024-08-06,WON_MEDAL
1568350,CSPWK1-500M,Silver Medal,2024-08-10,WON_MEDAL
1568350,CSPWK2-500M,Silver Medal,2024-08-09,WON_MEDAL
1568350,CSPWK4-500M,Bronze Medal,2024-08-08,WON_MEDAL
1568595,BK3MTEAM3,Silver Medal,2024-08-05,WON_MEDAL
1568603,BK3MTEAM3,Silver Medal,2024-08-05,WON_MEDAL
1568606,BK3MTEAM3,Silver Medal,2024-08-05,WON_MEDAL
1568608,BK3MTEAM3,Silver Medal,2024-08-05,WON_MEDAL
1568655,BOXW57KG,Silver Medal,2024-08-10,WON_MEDAL
1568724,WLFM89KG,Bronze Medal,2024-08-09,WON_MEDAL
1568745,CSPWK2-500M,Bronze Medal,2024-08-09,WON_MEDAL
1568745,CSPWK4-500M,Bronze Medal,2024-08-08,WON_MEDAL
1568750,CSPWK2-500M,Silver Medal,2024-08-09,WON_MEDAL
1568750,CSPWK4-500M,Bronze Medal,2024-08-08,WON_MEDAL
1569203,ATHMPLEVAULT,Gold Medal,2024-08-05,WON_MEDAL
1569563,WLFW59KG,Bronze Medal,2024-08-08,WON_MEDAL
1569832,WLFM102KG,Bronze Medal,2024-08-10,WON_MEDAL
1569852,SHOMSKM,Bronze Medal,2024-08-03,WON_MEDAL
1569961,BDMMDOUBLES,Bronze Medal,2024-08-04,WON_MEDAL
1569972,CSPMK1-1000M,Bronze Medal,2024-08-10,WON_MEDAL
1569986,TKWW49KG,Bronze Medal,2024-08-07,WON_MEDAL
1570105,BDMMDOUBLES,Gold Medal,2024-08-04,WON_MEDAL
1570107,BDMMDOUBLES,Gold Medal,2024-08-04,WON_MEDAL
1570415,WREWFS68KG,Bronze Medal,2024-08-06,WON_MEDAL
1570441,CSPMK2-500M,Silver Medal,2024-08-09,WON_MEDAL
1570546,WREMFS125KG,Bronze Medal,2024-08-10,WON_MEDAL
1570556,CSPWK2-500M,Bronze Medal,2024-08-09,WON_MEDAL
1570556,CSPWK4-500M,Bronze Medal,2024-08-08,WON_MEDAL
1570561,JUDM81KG,Bronze Medal,2024-07-30,WON_MEDAL
1570845,CSPMK2-500M,Silver Medal,2024-08-09,WON_MEDAL
1570863,CSPMK1-1000M,Silver Medal,2024-08-10,WON_MEDAL
1571498,WREMGR67KG,Bronze Medal,2024-08-08,WON_MEDAL
1571504,WREMGR97KG,Bronze Medal,2024-08-07,WON_MEDAL
1571506,WREMGR130KG,Gold Medal,2024-08-06,WON_MEDAL
1571559,ATHWHIGHJUMP,Gold Medal,2024-08-04,WON_MEDAL
1571563,ATHMHAMMER,Bronze Medal,2024-08-04,WON_MEDAL
1571577,ATHWHIGHJUMP,Bronze Medal,2024-08-04,WON_MEDAL
1571747,WREWFS50KG,Silver Medal,2024-08-07,WON_MEDAL
1571911,JUDW48KG,Bronze Medal,2024-07-27,WON_MEDAL
1571936,WREWFS76KG,Bronze Medal,2024-08-11,WON_MEDAL
1572203,WREWFS57KG,Silver Medal,2024-08-09,WON_MEDAL
1572318,TKWW67KG,Gold Medal,2024-08-09,WON_MEDAL
1572444,ROWMSCULL2-L,Gold Medal,2024-08-02,WON_MEDAL
1572557,SWMW100MFR,Gold Medal,2024-07-31,WON_MEDAL
1572557,SWMW50MFR,Gold Medal,2024-08-04,WON_MEDAL
1572919,SHOMARM,Silver Medal,2024-07-29,WON_MEDAL
1572953,CTRWOMNIUM,Silver Medal,2024-08-11,WON_MEDAL
1573098,ATHW400M,Bronze Medal,2024-08-09,WON_MEDAL
1573388,ATHMDECATH,Bronze Medal,2024-08-03,WON_MEDAL
1573418,ATHMJAVELIN,Bronze Medal,2024-08-08,WON_MEDAL
1573439,BKBWTEAM5,Silver Medal,2024-08-11,WON_MEDAL
1573440,BKBWTEAM5,Silver Medal,2024-08-11,WON_MEDAL
1573441,BKBWTEAM5,Silver Medal,2024-08-11,WON_MEDAL
1573442,BKBWTEAM5,Silver Medal,2024-08-11,WON_MEDAL
1573445,BKBWTEAM5,Silver Medal,2024-08-11,WON_MEDAL
1573448,BKBWTEAM5,Silver Medal,2024-08-11,WON_MEDAL
1573449,BKBWTEAM5,Silver Medal,2024-08-11,WON_MEDAL
1573451,BKBWTEAM5,Silver Medal,2024-08-11,WON_MEDAL
1573452,BKBWTEAM5,Silver Medal,2024-08-11,WON_MEDAL
1573454,BKBWTEAM5,Silver Medal,2024-08-11,WON_MEDAL
1573455,BKBWTEAM5,Silver Medal,2024-08-11,WON_MEDAL
1573457,BKBWTEAM5,Silver Medal,2024-08-11,WON_MEDAL
1573627,BKBMTEAM5,Silver Medal,2024-08-10,WON_MEDAL
1573628,BKBMTEAM5,Silver Medal,2024-08-10,WON_MEDAL
1573630,BKBMTEAM5,Silver Medal,2024-08-10,WON_MEDAL
1573632,BKBMTEAM5,Silver Medal,2024-08-10,WON_MEDAL
1573633,BKBMTEAM5,Silver Medal,2024-08-10,WON_MEDAL
1573634,BKBMTEAM5,Silver Medal,2024-08-10,WON_MEDAL
1573636,BKBMTEAM5,Silver Medal,2024-08-10,WON_MEDAL
1573638,BKBMTEAM5,Silver Medal,2024-08-10,WON_MEDAL
1573639,BKBMTEAM5,Silver Medal,2024-08-10,WON_MEDAL
1573640,BKBMTEAM5,Silver Medal,2024-08-10,WON_MEDAL
1573642,BKBMTEAM5,Silver Medal,2024-08-10,WON_MEDAL
1573660,BKBMTEAM5,Silver Medal,2024-08-10,WON_MEDAL
1574041,VVOMTEAM6,Gold Medal,2024-08-10,WON_MEDAL
1574043,VVOMTEAM6,Gold Medal,2024-08-10,WON_MEDAL
1574045,VVOMTEAM6,Gold Medal,2024-08-10,WON_MEDAL
1574046,VVOMTEAM6,Gold Medal,2024-08-10,WON_MEDAL
1574048,VVOMTEAM6,Gold Medal,2024-08-10,WON_MEDAL
1574049,VVOMTEAM6,Gold Medal,2024-08-10,WON_MEDAL
1574055,VVOMTEAM6,Gold Medal,2024-08-10,WON_MEDAL
1574057,VVOMTEAM6,Gold Medal,2024-08-10,WON_MEDAL
1574058,VVOMTEAM6,Gold Medal,2024-08-10,WON_MEDAL
1574060,VVOMTEAM6,Gold Medal,2024-08-10,WON_MEDAL
1574061,VVOMTEAM6,Gold Medal,2024-08-10,WON_MEDAL
1574065,VVOMTEAM6,Gold Medal,2024-08-10,WON_MEDAL
1574067,VVOMTEAM6,Gold Medal,2024-08-10,WON_MEDAL
1574106,RU7MTEAM7,Bronze Medal,2024-07-27,WON_MEDAL
1574107,RU7MTEAM7,Bronze Medal,2024-07-27,WON_MEDAL
1574108,RU7MTEAM7,Bronze Medal,2024-07-27,WON_MEDAL
1574109,RU7MTEAM7,Bronze Medal,2024-07-27,WON_MEDAL
1574111,RU7MTEAM7,Bronze Medal,2024-07-27,WON_MEDAL
1574112,RU7MTEAM7,Bronze Medal,2024-07-27,WON_MEDAL
1574114,RU7MTEAM7,Bronze Medal,2024-07-27,WON_MEDAL
1574118,RU7MTEAM7,Bronze Medal,2024-07-27,WON_MEDAL
1574119,RU7MTEAM7,Bronze Medal,2024-07-27,WON_MEDAL
1574121,RU7MTEAM7,Bronze Medal,2024-07-27,WON_MEDAL
1574134,RU7MTEAM7,Bronze Medal,2024-07-27,WON_MEDAL
1786902,MPNWINDIVID,Bronze Medal,2024-08-11,WON_MEDAL
1878037,GARM1APHB,Bronze Medal,2024-08-05,WON_MEDAL
1878353,ATHMDECATH,Gold Medal,2024-08-03,WON_MEDAL
1878383,VBVMTEAM2,Bronze Medal,2024-08-10,WON_MEDAL
1878386,VBVMTEAM2,Bronze Medal,2024-08-10,WON_MEDAL
1878486,HBLWTEAM7,Gold Medal,2024-08-10,WON_MEDAL
1878487,HBLWTEAM7,Gold Medal,2024-08-10,WON_MEDAL
1878490,HBLWTEAM7,Gold Medal,2024-08-10,WON_MEDAL
1878492,HBLWTEAM7,Gold Medal,2024-08-10,WON_MEDAL
1878493,HBLWTEAM7,Gold Medal,2024-08-10,WON_MEDAL
1878495,HBLWTEAM7,Gold Medal,2024-08-10,WON_MEDAL
1878496,HBLWTEAM7,Gold Medal,2024-08-10,WON_MEDAL
1878500,HBLWTEAM7,Gold Medal,2024-08-10,WON_MEDAL
1878501,HBLWTEAM7,Gold Medal,2024-08-10,WON_MEDAL
1878509,HBLWTEAM7,Gold Medal,2024-08-10,WON_MEDAL
1878511,HBLWTEAM7,Gold Medal,2024-08-10,WON_MEDAL
1878514,HBLWTEAM7,Gold Medal,2024-08-10,WON_MEDAL
1878515,HBLWTEAM7,Gold Medal,2024-08-10,WON_MEDAL
1878516,HBLWTEAM7,Gold Medal,2024-08-10,WON_MEDAL
1878518,HBLWTEAM7,Gold Medal,2024-08-10,WON_MEDAL
1878563,ATHMJAVELIN,Gold Medal,2024-08-08,WON_MEDAL
1878602,SALWILCA6,Bronze Medal,2024-08-07,WON_MEDAL
1878625,WLFW81KG,Gold Medal,2024-08-10,WON_MEDAL
