:START_ID(Coach-ID),:END_ID(Team-ID),:TYPE
1879878,HBLWTEAM7---FRA01,COACHES
1879879,HBLWTEAM7---FRA01,COACHES
1880367,RU7MTEAM7---KEN01,COACHES
1880387,RU7MTEAM7---KEN01,COACHES
1880388,RU7MTEAM7---KEN01,COACHES
1880389,RU7MTEAM7---KEN01,COACHES
1880390,RU7MTEAM7---KEN01,COACHES
1880620,FBLWTEAM11--GER01,COACHES
1880626,FBLWTEAM11--GER01,COACHES
1880629,FBLWTEAM11--GER01,COACHES
1880639,FBLWTEAM11--GER01,COACHES
1888131,VVOWTEAM6---SRB01,COACHES
1888241,FBLWTEAM11--JPN01,COACHES
1888242,FBLWTEAM11--JPN01,COACHES
1888246,FBLWTEAM11--JPN01,COACHES
1888335,HOCWTEAM11--JPN01,COACHES
1888338,HOCWTEAM11--JPN01,COACHES
1888342,HOCWTEAM11--JPN01,COACHES
1888344,HOCWTEAM11--JPN01,COACHES
1888347,HOCWTEAM11--JPN01,COACHES
1888372,VVOWTEAM6---SRB01,COACHES
1888495,VVOWTEAM6---SRB01,COACHES
1888498,HOCMTEAM11--IRL01,COACHES
1888733,HOCMTEAM11--IRL01,COACHES
1891653,WPOMTEAM7---JPN01,COACHES
1891659,WPOMTEAM7---JPN01,COACHES
1891667,WPOMTEAM7---JPN01,COACHES
1891686,SWAWTEAM2---JPN01,COACHES
1891686,SWAWTEAM8---JPN01,COACHES
1891688,SWAWTEAM2---JPN01,COACHES
1891688,SWAWTEAM8---JPN01,COACHES
1892047,FBLMTEAM11--UZB01,COACHES
1892050,FBLMTEAM11--UZB01,COACHES
1893216,HBLMTEAM7---FRA01,COACHES
1893217,HBLMTEAM7---FRA01,COACHES
1893221,HBLMTEAM7---FRA01,COACHES
1893222,HBLMTEAM7---FRA01,COACHES
1893223,HBLMTEAM7---FRA01,COACHES
1893224,HBLMTEAM7---FRA01,COACHES
1894098,RU7MTEAM7---IRL01,COACHES
1894098,RU7WTEAM7---IRL01,COACHES
1894612,HBLMTEAM7---NOR01,COACHES
1894614,HBLWTEAM7---NOR01,COACHES
1894657,HBLMTEAM7---NOR01,COACHES
1894659,HBLMTEAM7---NOR01,COACHES
1894661,HBLMTEAM7---NOR01,COACHES
1894662,HBLWTEAM7---NOR01,COACHES
1894663,HBLWTEAM7---NOR01,COACHES
1894666,HBLWTEAM7---NOR01,COACHES
1894711,HBLWTEAM7---NOR01,COACHES
1894714,HBLWTEAM7---NOR01,COACHES
1894715,HBLMTEAM7---NOR01,COACHES
1895269,HBLMTEAM7---DEN01,COACHES
1895269,HBLWTEAM7---DEN01,COACHES
1895270,HBLWTEAM7---DEN01,COACHES
1895272,HBLMTEAM7---DEN01,COACHES
1895274,HBLWTEAM7---DEN01,COACHES
1895275,HBLMTEAM7---DEN01,COACHES
1895276,HBLMTEAM7---DEN01,COACHES
1895277,HBLMTEAM7---DEN01,COACHES
1895278,HBLWTEAM7---DEN01,COACHES
1895279,HBLWTEAM7---DEN01,COACHES
1895408,HOCMTEAM11--FRA01,COACHES
1895409,HOCMTEAM11--FRA01,COACHES
1895410,HOCMTEAM11--FRA01,COACHES
1895412,HOCMTEAM11--FRA01,COACHES
1895413,HOCMTEAM11--FRA01,COACHES
1895414,HOCMTEAM11--FRA01,COACHES
1895417,HOCMTEAM11--FRA01,COACHES
1895418,HOCMTEAM11--FRA01,COACHES
1896499,FENMTEAMFOILJPN01,COACHES
1896499,FENWTEAMFOILJPN01,COACHES
1896502,FENMTEAMFOILJPN01,COACHES
1896503,FENWTEAMSABRJPN01,COACHES
1896505,FENWTEAMSABRJPN01,COACHES
1896506,FENMTEAMEPEEJPN01,COACHES
1896507,FENMTEAMFOILJPN01,COACHES
1896507,FENWTEAMFOILJPN01,COACHES
1896508,FENMTEAMEPEEJPN01,COACHES
1896511,FENWTEAMSABRJPN01,COACHES
1896512,FENMTEAMEPEEJPN01,COACHES
1896513,FENWTEAMFOILJPN01,COACHES
1896559,HBLMTEAM7---JPN01,COACHES
1896562,HBLMTEAM7---JPN01,COACHES
1896570,HBLMTEAM7---JPN01,COACHES
1896698,RU7MTEAM7---RSA01,COACHES
1896699,RU7MTEAM7---RSA01,COACHES
1896700,RU7MTEAM7---RSA01,COACHES
1896701,RU7MTEAM7---RSA01,COACHES
1897292,SWAWTEAM2---ISR01,COACHES
1897518,SWAWTEAM2---UKR01,COACHES
1897607,FENWTEAMEPEEUKR01,COACHES
1897607,FENWTEAMSABRUKR01,COACHES
1897608,FENWTEAMEPEEUKR01,COACHES
1897609,FENWTEAMSABRUKR01,COACHES
1897610,FENWTEAMSABRUKR01,COACHES
1897615,FENWTEAMEPEEUKR01,COACHES
1897752,SWAWTEAM2---NZL01,COACHES
1897904,SWAWTEAM2---KOR01,COACHES
1898540,VVOWTEAM6---CHN01,COACHES
1898944,BKBMTEAM5---GER01,COACHES
1898950,BKBWTEAM5---GER01,COACHES
1898951,BKBWTEAM5---GER01,COACHES
1898959,BKBMTEAM5---GER01,COACHES
1899054,HOCMTEAM11--GBR01,COACHES
1899057,HOCWTEAM11--GBR01,COACHES
1899059,HOCMTEAM11--GBR01,COACHES
1899061,HOCWTEAM11--GBR01,COACHES
1899063,HOCMTEAM11--GBR01,COACHES
1899063,HOCWTEAM11--GBR01,COACHES
1899065,HOCWTEAM11--GBR01,COACHES
1899066,HOCMTEAM11--GBR01,COACHES
1899068,HOCMTEAM11--GBR01,COACHES
1899068,HOCWTEAM11--GBR01,COACHES
1899069,HOCWTEAM11--GBR01,COACHES
