:START_ID(Official-ID),:END_ID(Country-ID),:TYPE
1956714,FRA,REPRESENTS
1957925,ITA,REPRESENTS
1958435,IRL,REPRESENTS
1958462,USA,REPRESENTS
1958696,KAZ,REPRESENTS
1958816,FRA,REPRESENTS
1958863,PUR,REPRESENTS
1958875,GUA,REPRESENTS
1969254,GER,REPRESENTS
1969255,RSA,REPRESENTS
1969256,GBR,REPRESENTS
1969257,POR,REPRESENTS
1969258,AUS,REPRESENTS
1969260,NZL,REPRESENTS
1969261,FIJ,REPRESENTS
1969263,NZL,REPRESENTS
1969264,NZL,REPRESENTS
1969265,GBR,REPRESENTS
1969266,USA,REPRESENTS
1969267,JPN,REPRESENTS
1969271,URU,REPRESENTS
1969272,GBR,REPRESENTS
1969273,CAN,REPRESENTS
1969274,HKG,REPRESENTS
1969278,GBR,REPRESENTS
1969280,USA,REPRESENTS
1969286,RSA,REPRESENTS
1972217,AZE,REPRESENTS
1979320,UZB,REPRESENTS
1979504,FRA,REPRESENTS
1984366,AUS,REPRESENTS
1984367,AUS,REPRESENTS
1988167,SVK,REPRESENTS
1990684,USA,REPRESENTS
1990685,GER,REPRESENTS
1990686,TGA,REPRESENTS
1990687,ITA,REPRESENTS
1990688,BRA,REPRESENTS
1990690,GBR,REPRESENTS
1990691,GBR,REPRESENTS
1990692,GER,REPRESENTS
1990693,NZL,REPRESENTS
1990695,POR,REPRESENTS
1990697,ITA,REPRESENTS
1990698,JOR,REPRESENTS
1990700,AUS,REPRESENTS
1990702,KOR,REPRESENTS
1990703,USA,REPRESENTS
1990704,GBR,REPRESENTS
1990705,ESP,REPRESENTS
1990706,FRA,REPRESENTS
1990707,GBR,REPRESENTS
1990710,NED,REPRESENTS
1990711,CAN,REPRESENTS
1990714,URU,REPRESENTS
1990715,JPN,REPRESENTS
1990716,GUA,REPRESENTS
1990717,GER,REPRESENTS
1990718,POR,REPRESENTS
1990719,CHN,REPRESENTS
1990720,KGZ,REPRESENTS
1990721,EGY,REPRESENTS
1990736,JAM,REPRESENTS
1991692,TUR,REPRESENTS
1991697,EGY,REPRESENTS
1991704,ALG,REPRESENTS
1994510,PLE,REPRESENTS
1995222,FRA,REPRESENTS
1995226,FRA,REPRESENTS
1995228,FRA,REPRESENTS
1995229,FRA,REPRESENTS
1995231,FRA,REPRESENTS
1995232,FRA,REPRESENTS
1995233,FRA,REPRESENTS
1995236,FRA,REPRESENTS
1995237,FRA,REPRESENTS
1995239,FRA,REPRESENTS
1995240,FRA,REPRESENTS
1995244,FRA,REPRESENTS
1997639,GER,REPRESENTS
1997650,FRA,REPRESENTS
1997675,ESP,REPRESENTS
1997676,UKR,REPRESENTS
1998243,BRA,REPRESENTS
2003348,KOR,REPRESENTS
2005147,BRA,REPRESENTS
2005151,UAE,REPRESENTS
2005153,BRA,REPRESENTS
2005159,MTN,REPRESENTS
2005161,KGZ,REPRESENTS
2005166,VEN,REPRESENTS
2005170,SRB,REPRESENTS
2005179,NOR,REPRESENTS
2005180,ARG,REPRESENTS
2005181,URU,REPRESENTS
2005182,CAN,REPRESENTS
2005183,MEX,REPRESENTS
2005188,MAR,REPRESENTS
2005189,NZL,REPRESENTS
2005190,KOR,REPRESENTS
2005191,DEN,REPRESENTS
2005193,FRA,REPRESENTS
