coach_code:ID(Coach-ID),name,gender,function,category,country_code,country
1562974,POSMYK Dominik,Male,Assistant Coach,C,GER,Germany
1563661,SALLAH Mariama M.,Female,Coach,C,GAM,Gambia
1563956,TUMILTY Mark,Male,Head Coach,C,IRL,Ireland
1563966,TOTH Balazs,Male,Coach,C,GER,Germany
1564287,QUSAI MUNIR,Male,Assistant Coach,C,IRQ,Iraq
1564321,CRUZ LOPEZ Jose L,Male,Assistant Coach,C,PUR,Puerto Rico
1564323,COLON Nelson,Male,Coach,C,PUR,Puerto Rico
1564325,CRUZ Rafael,Male,Assistant Coach,C,PUR,Puerto Rico
1564413,BESHEER Gamal,Male,Coach,C,EGY,Egypt
1564469,MOHAMED Ahmed,Male,Coach,C,EGY,Egypt
1564470,ABDELMEGUID Zakaria,Male,Coach,C,EGY,Egypt
1564477,MOHAMED Mayar,Female,Coach,C,EGY,Egypt
1564481,HUSSEIN Noha,Female,Coach,C,EGY,Egypt
1565043,MOUNDOUNGA KOMBILA Stephane,Male,Coach,C,GAB,Gabon
1565143,MLADENOVA Albena,Female,Coach,C,AUT,Austria
1565591,AL-ASSAF Faris,Male,Coach,C,JOR,Jordan
1565609,ALSADEQ Yazan,Male,Coach,C,JOR,Jordan
1565612,ALJALLAD Riham,Female,Coach,C,JOR,Jordan
1565657,KRAVCHENKO Sergiy,Male,Assistant Coach,C,UKR,Ukraine
1565672,ROTAN Ruslan,Male,Head Coach,C,UKR,Ukraine
1565759,SIREKANYAN Gurgen,Male,Coach,C,JOR,Jordan
1566325,FREHSE Gabriele,Female,Coach,C,AUT,Austria
1566746,SAHIN Ali,Male,Coach,C,TUR,Türkiye
1566749,TAZEGUL Servet,Male,Coach,C,TUR,Türkiye
1567065,BABEL Vincent,Male,Coach,C,SUR,Suriname
1568152,GOKTEKIN Yilmaz,Male,Coach,C,TUR,Türkiye
1568153,NURI Tufan,Male,Coach,C,TUR,Türkiye
1568648,GOJKOVIC Vladimir,Male,Head Coach,C,MNE,Montenegro
1569994,TOMAS Toni,Male,Coach,C,GBR,Great Britain
1569995,LAURA Veljko,Male,Coach,C,CRO,Croatia
1569996,MESAROV Dejan,Male,Coach,C,CRO,Croatia
1572261,GALAMBOS Bence,Male,Coach,C,HUN,Hungary
1572269,MARTON Luana,Female,Coach,C,HUN,Hungary
1572364,SALIM Gergely,Male,Coach,C,HUN,Hungary
1572370,SALIM Sharif Gergely,Male,Coach,C,HUN,Hungary
1572373,MIKKONEN Suvi,Female,Coach,C,HUN,Hungary
1572650,ROUSSEAUX Emile,Male,Head Coach,C,FRA,France
1572652,ANDRE Felix,Male,Assistant Coach,C,FRA,France
1572654,GAUTHIER Charles,Male,Assistant Coach,C,FRA,France
1573466,TOUPANE Jean Aime,Male,Coach,C,FRA,France
1573467,MELAIN Catherine,Female,Assistant Coach,C,FRA,France
1573468,GAUTIER David,Male,Assistant Coach,C,FRA,France
1573469,HALIN Gregory,Male,Coach,C,FRA,France
1573470,LEONARD Christophe,Male,Coach,C,FRA,France
1573668,COLLET Vincent,Male,Coach,C,FRA,France
1573669,DONNADIEU Pascal,Male,Assistant Coach,C,FRA,France
1573670,ATKINSON Kenny,Male,Assistant Coach,C,FRA,France
1573671,NELHOMME Ruddy,Male,Coach,C,FRA,France
1573672,GOMIS Joseph,Male,Coach,C,FRA,France
1574076,CIAMARRA Roberto,Male,Assistant Coach,C,FRA,France
1574080,GEILER Loic,Male,Assistant Coach,C,FRA,France
1574082,GIANI Andrea,Male,Head Coach,C,FRA,France
1830240,WENG Shih-Hang,Male,Coach,C,TPE,Chinese Taipei
1835894,TSAI Heng-Cheng,Male,Coach,C,TPE,Chinese Taipei
1878950,SANTARELLI Daniele,Male,Head Coach,C,TUR,Türkiye
1878952,FLISI Diego,Male,Assistant Coach,C,TUR,Türkiye
1878956,ZOTTA Andrea,Male,Assistant Coach,C,TUR,Türkiye
1879044,VATANSEVER Recep,Male,Assistant Coach,C,TUR,Türkiye
1879645,DARET Jerome,Male,Head Coach,C,FRA,France
1879871,KRUMBHOLZ Olivier,Male,Head Coach,C,FRA,France
1879872,GARDILLOU Sebastien,Male,Assistant Coach,C,FRA,France
1879875,LEYNAUD Amandine,Female,Assistant Coach,C,FRA,France
